pretrained,model
encoder.features.0.weight,features.0.weight
encoder.features.1.weight,features.1.weight
encoder.features.1.bias,features.1.bias
encoder.features.3.weight,features.3.weight
encoder.features.4.weight,features.4.weight
encoder.features.4.bias,features.4.bias
encoder.features.6.weight,features.6.weight
encoder.features.7.weight,features.7.weight
encoder.features.7.bias,features.7.bias
encoder.features.9.weight,features.9.weight
encoder.features.10.weight,features.10.weight
encoder.features.10.bias,features.10.bias
encoder.features.12.weight,features.12.weight
encoder.features.13.weight,features.13.weight
encoder.features.13.bias,features.13.bias
encoder.features.15.weight,features.15.weight
encoder.features.16.weight,features.16.weight
encoder.features.16.bias,features.16.bias
encoder.features.18.weight,features.18.weight
encoder.features.19.weight,features.19.weight
encoder.features.19.bias,features.19.bias
encoder.features.21.weight,features.21.weight
encoder.features.22.weight,features.22.weight
encoder.features.22.bias,features.22.bias
encoder.features.24.weight,features.24.weight
encoder.features.25.weight,features.25.weight
encoder.features.25.bias,features.25.bias
encoder.features.27.weight,features.27.weight
encoder.features.28.weight,features.28.weight
encoder.features.28.bias,features.28.bias
encoder.features.30.weight,features.30.weight
encoder.features.31.weight,features.31.weight
encoder.features.31.bias,features.31.bias
encoder.features.33.weight,features.33.weight
encoder.features.34.weight,features.34.weight
encoder.features.34.bias,features.34.bias
encoder.features.36.weight,features.36.weight
encoder.features.37.weight,features.37.weight
encoder.features.37.bias,features.37.bias
encoder.features.39.weight,features.39.weight
encoder.features.40.weight,features.40.weight
encoder.features.40.bias,features.40.bias
encoder.features.42.weight,features.42.weight
encoder.features.43.weight,features.43.weight
encoder.features.43.bias,features.43.bias
encoder.features.45.weight,features.45.weight
encoder.features.46.weight,features.46.weight
encoder.features.46.bias,features.46.bias
encoder.features.48.weight,features.48.weight
encoder.features.49.weight,features.49.weight
encoder.features.49.bias,features.49.bias
encoder.features.51.weight,features.51.weight
encoder.features.52.weight,features.52.weight
encoder.features.52.bias,features.52.bias
encoder.features.54.weight,features.54.weight
encoder.features.55.weight,features.55.weight
encoder.features.55.bias,features.55.bias
encoder.features.57.weight,features.57.weight
encoder.features.58.weight,features.58.weight
encoder.features.58.bias,features.58.bias
encoder.features.60.weight,features.60.weight
encoder.features.61.weight,features.61.weight
encoder.features.61.bias,features.61.bias
